ID,Cropping,Denoising,PostResizeSharpening,JPEG,code
0,512,1,0.01,85.0,crop=512_denoising=1_sharpening=0.01
1,512,1,0.176,85.0,crop=512_denoising=1_sharpening=0.176
2,512,1,0.341,85.0,crop=512_denoising=1_sharpening=0.341
3,512,1,0.507,85.0,crop=512_denoising=1_sharpening=0.507
4,512,1,0.672,85.0,crop=512_denoising=1_sharpening=0.672
5,512,1,0.838,85.0,crop=512_denoising=1_sharpening=0.838
6,512,1,1.003,85.0,crop=512_denoising=1_sharpening=1.003
7,512,1,1.169,85.0,crop=512_denoising=1_sharpening=1.169
8,512,1,1.334,85.0,crop=512_denoising=1_sharpening=1.334
9,512,1,1.5,85.0,crop=512_denoising=1_sharpening=1.5
10,512,4,0.01,85.0,crop=512_denoising=4_sharpening=0.01
11,512,4,0.176,85.0,crop=512_denoising=4_sharpening=0.176
12,512,4,0.341,85.0,crop=512_denoising=4_sharpening=0.341
13,512,4,0.507,85.0,crop=512_denoising=4_sharpening=0.507
14,512,4,0.672,85.0,crop=512_denoising=4_sharpening=0.672
15,512,4,0.838,85.0,crop=512_denoising=4_sharpening=0.838
16,512,4,1.003,85.0,crop=512_denoising=4_sharpening=1.003
17,512,4,1.169,85.0,crop=512_denoising=4_sharpening=1.169
18,512,4,1.334,85.0,crop=512_denoising=4_sharpening=1.334
19,512,4,1.5,85.0,crop=512_denoising=4_sharpening=1.5
20,512,7,0.01,85.0,crop=512_denoising=7_sharpening=0.01
21,512,7,0.176,85.0,crop=512_denoising=7_sharpening=0.176
22,512,7,0.341,85.0,crop=512_denoising=7_sharpening=0.341
23,512,7,0.507,85.0,crop=512_denoising=7_sharpening=0.507
24,512,7,0.672,85.0,crop=512_denoising=7_sharpening=0.672
25,512,7,0.838,85.0,crop=512_denoising=7_sharpening=0.838
26,512,7,1.003,85.0,crop=512_denoising=7_sharpening=1.003
27,512,7,1.169,85.0,crop=512_denoising=7_sharpening=1.169
28,512,7,1.334,85.0,crop=512_denoising=7_sharpening=1.334
29,512,7,1.5,85.0,crop=512_denoising=7_sharpening=1.5
30,512,10,0.01,85.0,crop=512_denoising=10_sharpening=0.01
31,512,10,0.176,85.0,crop=512_denoising=10_sharpening=0.176
32,512,10,0.341,85.0,crop=512_denoising=10_sharpening=0.341
33,512,10,0.507,85.0,crop=512_denoising=10_sharpening=0.507
34,512,10,0.672,85.0,crop=512_denoising=10_sharpening=0.672
35,512,10,0.838,85.0,crop=512_denoising=10_sharpening=0.838
36,512,10,1.003,85.0,crop=512_denoising=10_sharpening=1.003
37,512,10,1.169,85.0,crop=512_denoising=10_sharpening=1.169
38,512,10,1.334,85.0,crop=512_denoising=10_sharpening=1.334
39,512,10,1.5,85.0,crop=512_denoising=10_sharpening=1.5
40,512,13,0.01,85.0,crop=512_denoising=13_sharpening=0.01
41,512,13,0.176,85.0,crop=512_denoising=13_sharpening=0.176
42,512,13,0.341,85.0,crop=512_denoising=13_sharpening=0.341
43,512,13,0.507,85.0,crop=512_denoising=13_sharpening=0.507
44,512,13,0.672,85.0,crop=512_denoising=13_sharpening=0.672
45,512,13,0.838,85.0,crop=512_denoising=13_sharpening=0.838
46,512,13,1.003,85.0,crop=512_denoising=13_sharpening=1.003
47,512,13,1.169,85.0,crop=512_denoising=13_sharpening=1.169
48,512,13,1.334,85.0,crop=512_denoising=13_sharpening=1.334
49,512,13,1.5,85.0,crop=512_denoising=13_sharpening=1.5
50,512,17,0.01,85.0,crop=512_denoising=17_sharpening=0.01
51,512,17,0.176,85.0,crop=512_denoising=17_sharpening=0.176
52,512,17,0.341,85.0,crop=512_denoising=17_sharpening=0.341
53,512,17,0.507,85.0,crop=512_denoising=17_sharpening=0.507
